symbol,date,price
keunbong,Jan 2000,39.81
keunbong,Feb 2000,36.35
keunbong,Mar 2000,43.22
keunbong,Apr 2000,28.37
keunbong,May 2000,25.45
keunbong,Jun 2000,32.54
keunbong,Jul 2000,28.4
keunbong,Aug 2000,28.4
keunbong,Sep 2000,24.53
keunbong,Oct 2000,28.02
keunbong,Nov 2000,23.34
keunbong,Dec 2000,17.65
keunbong,Jan 2001,24.84
keunbong,Feb 2001,24
keunbong,Mar 2001,22.25
keunbong,Apr 2001,27.56
keunbong,May 2001,28.14
keunbong,Jun 2001,29.7
keunbong,Jul 2001,26.93
keunbong,Aug 2001,23.21
keunbong,Sep 2001,20.82
keunbong,Oct 2001,23.65
keunbong,Nov 2001,26.12
keunbong,Dec 2001,26.95
keunbong,Jan 2002,25.92
keunbong,Feb 2002,23.73
keunbong,Mar 2002,24.53
keunbong,Apr 2002,21.26
keunbong,May 2002,20.71
keunbong,Jun 2002,22.25
keunbong,Jul 2002,19.52
keunbong,Aug 2002,19.97
keunbong,Sep 2002,17.79
keunbong,Oct 2002,21.75
keunbong,Nov 2002,23.46
keunbong,Dec 2002,21.03
keunbong,Jan 2003,19.31
keunbong,Feb 2003,19.34
keunbong,Mar 2003,19.76
keunbong,Apr 2003,20.87
keunbong,May 2003,20.09
keunbong,Jun 2003,20.93
keunbong,Jul 2003,21.56
keunbong,Aug 2003,21.65
keunbong,Sep 2003,22.69
keunbong,Oct 2003,21.45
keunbong,Nov 2003,21.1
keunbong,Dec 2003,22.46
keunbong,Jan 2004,22.69
keunbong,Feb 2004,21.77
keunbong,Mar 2004,20.46
keunbong,Apr 2004,21.45
keunbong,May 2004,21.53
keunbong,Jun 2004,23.44
keunbong,Jul 2004,23.38
keunbong,Aug 2004,22.47
keunbong,Sep 2004,22.76
keunbong,Oct 2004,23.02
keunbong,Nov 2004,24.6
keunbong,Dec 2004,24.52
keunbong,Jan 2005,24.11
keunbong,Feb 2005,23.15
keunbong,Mar 2005,22.24
keunbong,Apr 2005,23.28
keunbong,May 2005,23.82
keunbong,Jun 2005,22.93
keunbong,Jul 2005,23.64
keunbong,Aug 2005,25.35
keunbong,Sep 2005,23.83
keunbong,Oct 2005,23.8
keunbong,Nov 2005,25.71
keunbong,Dec 2005,24.29
keunbong,Jan 2006,26.14
keunbong,Feb 2006,25.04
keunbong,Mar 2006,25.36
keunbong,Apr 2006,22.5
keunbong,May 2006,21.19
keunbong,Jun 2006,21.8
keunbong,Jul 2006,22.51
keunbong,Aug 2006,24.13
keunbong,Sep 2006,25.68
keunbong,Oct 2006,26.96
keunbong,Nov 2006,27.66
keunbong,Dec 2006,28.13
keunbong,Jan 2007,29.07
keunbong,Feb 2007,26.63
keunbong,Mar 2007,26.35
keunbong,Apr 2007,28.3
keunbong,May 2007,29.11
keunbong,Jun 2007,27.95
keunbong,Jul 2007,27.5
keunbong,Aug 2007,27.34
keunbong,Sep 2007,28.04
keunbong,Oct 2007,35.03
keunbong,Nov 2007,32.09
keunbong,Dec 2007,34
keunbong,Jan 2008,31.13
keunbong,Feb 2008,26.07
keunbong,Mar 2008,27.21
keunbong,Apr 2008,27.34
keunbong,May 2008,27.25
keunbong,Jun 2008,26.47
keunbong,Jul 2008,24.75
keunbong,Aug 2008,26.36
keunbong,Sep 2008,25.78
keunbong,Oct 2008,21.57
keunbong,Nov 2008,19.66
keunbong,Dec 2008,18.91
keunbong,Jan 2009,16.63
keunbong,Feb 2009,15.81
keunbong,Mar 2009,17.99
keunbong,Apr 2009,19.84
keunbong,May 2009,20.59
keunbong,Jun 2009,23.42
keunbong,Jul 2009,23.18
keunbong,Aug 2009,24.43
keunbong,Sep 2009,25.49
keunbong,Oct 2009,27.48
keunbong,Nov 2009,29.27
keunbong,Dec 2009,30.34
keunbong,Jan 2010,28.05
keunbong,Feb 2010,28.67
keunbong,Mar 2010,28.8
sookeun,Jan 2000,64.56
sookeun,Feb 2000,68.87
sookeun,Mar 2000,67
sookeun,Apr 2000,55.19
sookeun,May 2000,48.31
sookeun,Jun 2000,36.31
sookeun,Jul 2000,30.12
sookeun,Aug 2000,41.5
sookeun,Sep 2000,38.44
sookeun,Oct 2000,36.62
sookeun,Nov 2000,24.69
sookeun,Dec 2000,15.56
sookeun,Jan 2001,17.31
sookeun,Feb 2001,10.19
sookeun,Mar 2001,10.23
sookeun,Apr 2001,15.78
sookeun,May 2001,16.69
sookeun,Jun 2001,14.15
sookeun,Jul 2001,12.49
sookeun,Aug 2001,8.94
sookeun,Sep 2001,5.97
sookeun,Oct 2001,6.98
sookeun,Nov 2001,11.32
sookeun,Dec 2001,10.82
sookeun,Jan 2002,14.19
